replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
0,56.0,56.0,1000.0,1000.0,0.00010156631469726562,0.004782438278198242,0.0,0.0
1,56.0,54.0,1000.0,1000.0,7.724761962890625e-05,0.004648685455322266,-2.0,0.0
2,56.0,55.0,1000.0,1000.0,7.343292236328125e-05,0.004663944244384766,-1.0,0.0
3,56.0,55.0,1000.0,1000.0,7.43865966796875e-05,0.004683494567871094,-1.0,0.0
4,56.0,56.0,1000.0,1000.0,7.62939453125e-05,0.004636526107788086,0.0,0.0
5,56.0,55.0,1000.0,1000.0,7.605552673339844e-05,0.004631757736206055,-1.0,0.0
6,56.0,56.0,1000.0,1000.0,7.176399230957031e-05,0.004626274108886719,0.0,0.0
7,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004622697830200195,0.0,0.0
8,56.0,56.0,1000.0,1000.0,7.081031799316406e-05,0.004686117172241211,0.0,0.0
9,56.0,55.0,1000.0,1000.0,7.414817810058594e-05,0.004721403121948242,-1.0,0.0
10,56.0,54.0,1000.0,1000.0,7.343292236328125e-05,0.004660844802856445,-2.0,0.0
11,56.0,56.0,1000.0,1000.0,7.224082946777344e-05,0.004675149917602539,0.0,0.0
12,56.0,56.0,1000.0,1000.0,7.2479248046875e-05,0.004647493362426758,0.0,0.0
13,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004698991775512695,0.0,0.0
14,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.0046405792236328125,0.0,0.0
15,56.0,55.0,1000.0,1000.0,7.367134094238281e-05,0.004669904708862305,-1.0,0.0
16,56.0,55.0,1000.0,1000.0,7.152557373046875e-05,0.004686832427978516,-1.0,0.0
17,56.0,55.0,1000.0,1000.0,7.43865966796875e-05,0.004671812057495117,-1.0,0.0
18,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004674434661865234,0.0,0.0
19,56.0,55.0,1000.0,1000.0,7.271766662597656e-05,0.004663944244384766,-1.0,0.0
20,56.0,56.0,1000.0,1000.0,7.009506225585938e-05,0.004693746566772461,0.0,0.0
21,56.0,55.0,1000.0,1000.0,7.2479248046875e-05,0.0047032833099365234,-1.0,0.0
22,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.004666566848754883,0.0,0.0
23,56.0,55.0,1000.0,1000.0,7.367134094238281e-05,0.0047380924224853516,-1.0,0.0
24,56.0,55.0,1000.0,1000.0,7.486343383789062e-05,0.0047893524169921875,-1.0,0.0
25,56.0,56.0,1000.0,1000.0,8.058547973632812e-05,0.004653453826904297,0.0,0.0
26,56.0,55.0,1000.0,1000.0,7.152557373046875e-05,0.00482177734375,-1.0,0.0
27,56.0,56.0,1000.0,1000.0,7.724761962890625e-05,0.004662275314331055,0.0,0.0
28,56.0,56.0,1000.0,1000.0,7.224082946777344e-05,0.004673957824707031,0.0,0.0
29,56.0,55.0,1000.0,1000.0,7.557868957519531e-05,0.004654645919799805,-1.0,0.0
30,56.0,55.0,1000.0,1000.0,8.988380432128906e-05,0.004654645919799805,-1.0,0.0
31,56.0,55.0,1000.0,1000.0,7.677078247070312e-05,0.0046880245208740234,-1.0,0.0
32,56.0,56.0,1000.0,1000.0,8.535385131835938e-05,0.004678964614868164,0.0,0.0
33,56.0,56.0,1000.0,1000.0,7.62939453125e-05,0.0046846866607666016,0.0,0.0
34,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004605293273925781,0.0,0.0
35,56.0,55.0,1000.0,1000.0,7.224082946777344e-05,0.00469660758972168,-1.0,0.0
36,56.0,56.0,1000.0,1000.0,7.176399230957031e-05,0.004658699035644531,0.0,0.0
37,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004658222198486328,0.0,0.0
38,56.0,56.0,1000.0,1000.0,9.822845458984375e-05,0.004698276519775391,0.0,0.0
39,56.0,55.0,1000.0,1000.0,7.414817810058594e-05,0.004666328430175781,-1.0,0.0
40,56.0,55.0,1000.0,1000.0,7.176399230957031e-05,0.004668712615966797,-1.0,0.0
41,56.0,56.0,1000.0,1000.0,7.462501525878906e-05,0.004662036895751953,0.0,0.0
42,56.0,55.0,1000.0,1000.0,8.702278137207031e-05,0.0046460628509521484,-1.0,0.0
43,56.0,56.0,1000.0,1000.0,7.796287536621094e-05,0.004686832427978516,0.0,0.0
44,56.0,56.0,1000.0,1000.0,7.581710815429688e-05,0.004675388336181641,0.0,0.0
45,56.0,56.0,1000.0,1000.0,8.58306884765625e-05,0.004712104797363281,0.0,0.0
46,56.0,56.0,1000.0,1000.0,7.772445678710938e-05,0.004659414291381836,0.0,0.0
47,56.0,55.0,1000.0,1000.0,7.271766662597656e-05,0.004702568054199219,-1.0,0.0
48,56.0,55.0,1000.0,1000.0,7.128715515136719e-05,0.004686832427978516,-1.0,0.0
49,56.0,55.0,1000.0,1000.0,7.152557373046875e-05,0.0047223567962646484,-1.0,0.0
50,56.0,55.0,1000.0,1000.0,7.295608520507812e-05,0.004630565643310547,-1.0,0.0
51,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004674673080444336,0.0,0.0
52,56.0,56.0,1000.0,1000.0,7.367134094238281e-05,0.004673957824707031,0.0,0.0
53,56.0,56.0,1000.0,1000.0,7.510185241699219e-05,0.00471186637878418,0.0,0.0
54,56.0,56.0,1000.0,1000.0,8.988380432128906e-05,0.004671812057495117,0.0,0.0
55,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004673480987548828,0.0,0.0
56,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004696846008300781,0.0,0.0
57,56.0,56.0,1000.0,1000.0,7.62939453125e-05,0.004705190658569336,0.0,0.0
58,56.0,55.0,1000.0,1000.0,8.463859558105469e-05,0.00466156005859375,-1.0,0.0
59,56.0,55.0,1000.0,1000.0,9.274482727050781e-05,0.004746913909912109,-1.0,0.0
60,56.0,56.0,1000.0,1000.0,7.581710815429688e-05,0.004693269729614258,0.0,0.0
61,56.0,55.0,1000.0,1000.0,7.176399230957031e-05,0.004647493362426758,-1.0,0.0
62,56.0,55.0,1000.0,1000.0,7.295608520507812e-05,0.004644155502319336,-1.0,0.0
63,56.0,55.0,1000.0,1000.0,8.58306884765625e-05,0.004642963409423828,-1.0,0.0
64,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.0046613216400146484,0.0,0.0
65,56.0,56.0,1000.0,1000.0,7.319450378417969e-05,0.004678487777709961,0.0,0.0
66,56.0,56.0,1000.0,1000.0,7.963180541992188e-05,0.0046994686126708984,0.0,0.0
67,56.0,55.0,1000.0,1000.0,9.131431579589844e-05,0.0046901702880859375,-1.0,0.0
68,56.0,55.0,1000.0,1000.0,7.534027099609375e-05,0.004685163497924805,-1.0,0.0
69,56.0,55.0,1000.0,1000.0,7.462501525878906e-05,0.004679441452026367,-1.0,0.0
70,56.0,56.0,1000.0,1000.0,7.390975952148438e-05,0.0046539306640625,0.0,0.0
71,56.0,55.0,1000.0,1000.0,7.081031799316406e-05,0.004665851593017578,-1.0,0.0
72,56.0,56.0,1000.0,1000.0,7.081031799316406e-05,0.004685401916503906,0.0,0.0
73,56.0,56.0,1000.0,1000.0,7.534027099609375e-05,0.004700422286987305,0.0,0.0
74,56.0,55.0,1000.0,1000.0,7.963180541992188e-05,0.0046880245208740234,-1.0,0.0
75,56.0,56.0,1000.0,1000.0,7.414817810058594e-05,0.00465846061706543,0.0,0.0
76,56.0,56.0,1000.0,1000.0,7.176399230957031e-05,0.004655599594116211,0.0,0.0
77,56.0,55.0,1000.0,1000.0,7.104873657226562e-05,0.00466609001159668,-1.0,0.0
78,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004665374755859375,0.0,0.0
79,56.0,56.0,1000.0,1000.0,7.390975952148438e-05,0.004647731781005859,0.0,0.0
80,56.0,55.0,1000.0,1000.0,7.2479248046875e-05,0.0046956539154052734,-1.0,0.0
81,56.0,55.0,1000.0,1000.0,7.390975952148438e-05,0.004675149917602539,-1.0,0.0
82,56.0,55.0,1000.0,1000.0,7.152557373046875e-05,0.004652261734008789,-1.0,0.0
83,56.0,55.0,1000.0,1000.0,7.319450378417969e-05,0.0046749114990234375,-1.0,0.0
84,56.0,55.0,1000.0,1000.0,7.05718994140625e-05,0.0047092437744140625,-1.0,0.0
85,56.0,54.0,1000.0,1000.0,7.2479248046875e-05,0.004671573638916016,-2.0,0.0
86,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.004674673080444336,0.0,0.0
87,56.0,56.0,1000.0,1000.0,7.557868957519531e-05,0.004642009735107422,0.0,0.0
88,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004706859588623047,0.0,0.0
89,56.0,56.0,1000.0,1000.0,7.319450378417969e-05,0.004650592803955078,0.0,0.0
90,56.0,56.0,1000.0,1000.0,7.367134094238281e-05,0.00466609001159668,0.0,0.0
91,56.0,56.0,1000.0,1000.0,7.367134094238281e-05,0.004630088806152344,0.0,0.0
92,56.0,55.0,1000.0,1000.0,7.295608520507812e-05,0.004675865173339844,-1.0,0.0
93,56.0,56.0,1000.0,1000.0,7.486343383789062e-05,0.0066204071044921875,0.0,0.0
94,56.0,55.0,1000.0,1000.0,0.00014066696166992188,0.007174253463745117,-1.0,0.0
95,56.0,56.0,1000.0,1000.0,8.630752563476562e-05,0.0047168731689453125,0.0,0.0
96,56.0,55.0,1000.0,1000.0,7.605552673339844e-05,0.004642009735107422,-1.0,0.0
97,56.0,56.0,1000.0,1000.0,7.319450378417969e-05,0.004642963409423828,0.0,0.0
98,56.0,56.0,1000.0,1000.0,7.414817810058594e-05,0.004659891128540039,0.0,0.0
99,56.0,56.0,1000.0,1000.0,7.319450378417969e-05,0.004633188247680664,0.0,0.0
