replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
0,198.0,195.0,1000.0,1000.0,0.0001423358917236328,0.0047609806060791016,-3.0,0.0
1,200.0,195.0,1000.0,1000.0,0.00010800361633300781,0.004714488983154297,-5.0,0.0
2,200.0,193.0,1000.0,1000.0,0.00010585784912109375,0.004690647125244141,-7.0,0.0
3,198.0,194.0,1000.0,1000.0,0.00010204315185546875,0.0047070980072021484,-4.0,0.0
4,200.0,189.0,1000.0,1000.0,0.00010275840759277344,0.004693508148193359,-11.0,0.0
5,199.0,193.0,1000.0,1000.0,0.00010323524475097656,0.004674673080444336,-6.0,0.0
6,199.0,194.0,1000.0,1000.0,0.00010228157043457031,0.0046498775482177734,-5.0,0.0
7,196.0,193.0,1000.0,1000.0,0.00010275840759277344,0.004662513732910156,-3.0,0.0
8,199.0,196.0,1000.0,1000.0,0.00010228157043457031,0.004720449447631836,-3.0,0.0
9,200.0,192.0,1000.0,1000.0,0.00013327598571777344,0.004800319671630859,-8.0,0.0
10,198.0,192.0,1000.0,1000.0,0.00010728836059570312,0.004793643951416016,-6.0,0.0
11,198.0,197.0,1000.0,1000.0,0.00010919570922851562,0.004689693450927734,-1.0,0.0
12,198.0,188.0,1000.0,1000.0,0.00010323524475097656,0.004698991775512695,-10.0,0.0
13,198.0,194.0,1000.0,1000.0,0.000102996826171875,0.004693269729614258,-4.0,0.0
14,200.0,194.0,1000.0,1000.0,0.00010275840759277344,0.004680633544921875,-6.0,0.0
15,200.0,193.0,1000.0,1000.0,0.00010275840759277344,0.004681587219238281,-7.0,0.0
16,198.0,196.0,1000.0,1000.0,0.00010204315185546875,0.004754066467285156,-2.0,0.0
17,199.0,191.0,1000.0,1000.0,0.00011014938354492188,0.004701137542724609,-8.0,0.0
18,196.0,194.0,1000.0,1000.0,0.00010728836059570312,0.004685163497924805,-2.0,0.0
19,199.0,191.0,1000.0,1000.0,0.00011968612670898438,0.004669666290283203,-8.0,0.0
20,200.0,190.0,1000.0,1000.0,0.00010418891906738281,0.00469517707824707,-10.0,0.0
21,199.0,194.0,1000.0,1000.0,0.00010371208190917969,0.0046825408935546875,-5.0,0.0
22,197.0,192.0,1000.0,1000.0,0.00010132789611816406,0.0046617984771728516,-5.0,0.0
23,196.0,190.0,1000.0,1000.0,0.00010204315185546875,0.0047032833099365234,-6.0,0.0
24,198.0,192.0,1000.0,1000.0,0.00010514259338378906,0.00469660758972168,-6.0,0.0
25,200.0,191.0,1000.0,1000.0,0.00010275840759277344,0.00468754768371582,-9.0,0.0
26,199.0,193.0,1000.0,1000.0,0.00010251998901367188,0.004688739776611328,-6.0,0.0
27,198.0,192.0,1000.0,1000.0,0.00010228157043457031,0.004712581634521484,-6.0,0.0
28,200.0,194.0,1000.0,1000.0,0.0001049041748046875,0.004683732986450195,-6.0,0.0
29,200.0,195.0,1000.0,1000.0,0.00010323524475097656,0.00467991828918457,-5.0,0.0
30,196.0,193.0,1000.0,1000.0,0.00010132789611816406,0.004693269729614258,-3.0,0.0
31,199.0,189.0,1000.0,1000.0,0.00010418891906738281,0.004683256149291992,-10.0,0.0
32,198.0,191.0,1000.0,1000.0,0.00010156631469726562,0.004659175872802734,-7.0,0.0
33,200.0,194.0,1000.0,1000.0,0.0001049041748046875,0.004658699035644531,-6.0,0.0
34,199.0,193.0,1000.0,1000.0,0.00010156631469726562,0.004690647125244141,-6.0,0.0
35,199.0,193.0,1000.0,1000.0,0.00010323524475097656,0.004677534103393555,-6.0,0.0
36,199.0,192.0,1000.0,1000.0,0.00010156631469726562,0.004674196243286133,-7.0,0.0
37,200.0,195.0,1000.0,1000.0,0.0001010894775390625,0.004663228988647461,-5.0,0.0
38,199.0,192.0,1000.0,1000.0,0.000118255615234375,0.00480961799621582,-7.0,0.0
39,198.0,191.0,1000.0,1000.0,0.00010800361633300781,0.0046842098236083984,-7.0,0.0
40,200.0,192.0,1000.0,1000.0,0.00010466575622558594,0.004675865173339844,-8.0,0.0
41,197.0,191.0,1000.0,1000.0,0.00010156631469726562,0.004683017730712891,-6.0,0.0
42,199.0,191.0,1000.0,1000.0,0.00010418891906738281,0.004670619964599609,-8.0,0.0
43,198.0,196.0,1000.0,1000.0,0.00010609626770019531,0.004754066467285156,-2.0,0.0
44,199.0,196.0,1000.0,1000.0,0.00010538101196289062,0.004676342010498047,-3.0,0.0
45,199.0,194.0,1000.0,1000.0,0.00010323524475097656,0.004639863967895508,-5.0,0.0
46,200.0,193.0,1000.0,1000.0,0.00010275840759277344,0.004672527313232422,-7.0,0.0
47,198.0,195.0,1000.0,1000.0,0.000102996826171875,0.0046579837799072266,-3.0,0.0
48,198.0,192.0,1000.0,1000.0,0.00011706352233886719,0.004705905914306641,-6.0,0.0
49,199.0,190.0,1000.0,1000.0,0.00010538101196289062,0.0046901702880859375,-9.0,0.0
