replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
0,198.0,193.0,1000.0,1000.0,0.00014352798461914062,0.004847288131713867,-5.0,0.0
1,200.0,190.0,1000.0,1000.0,0.00011205673217773438,0.0046482086181640625,-10.0,0.0
2,200.0,187.0,1000.0,1000.0,0.00010848045349121094,0.004630327224731445,-13.0,0.0
3,198.0,190.0,1000.0,1000.0,0.00010561943054199219,0.004705905914306641,-8.0,0.0
4,200.0,192.0,1000.0,1000.0,0.00010919570922851562,0.004681110382080078,-8.0,0.0
5,199.0,187.0,1000.0,1000.0,0.00010561943054199219,0.004694461822509766,-12.0,0.0
6,199.0,189.0,1000.0,1000.0,0.00010514259338378906,0.004609107971191406,-10.0,0.0
7,196.0,189.0,1000.0,1000.0,0.0001201629638671875,0.004733562469482422,-7.0,0.0
8,199.0,191.0,1000.0,1000.0,0.00010704994201660156,0.004733562469482422,-8.0,0.0
9,200.0,186.0,1000.0,1000.0,0.00010371208190917969,0.004610300064086914,-14.0,0.0
10,198.0,185.0,1000.0,1000.0,0.000102996826171875,0.0046994686126708984,-13.0,0.0
11,198.0,189.0,1000.0,1000.0,0.00011563301086425781,0.004721164703369141,-9.0,0.0
12,198.0,190.0,1000.0,1000.0,0.00011420249938964844,0.004654407501220703,-8.0,0.0
13,198.0,187.0,1000.0,1000.0,0.00010466575622558594,0.004695415496826172,-11.0,0.0
14,200.0,191.0,1000.0,1000.0,0.00010561943054199219,0.0046770572662353516,-9.0,0.0
15,200.0,190.0,1000.0,1000.0,0.00010633468627929688,0.004683971405029297,-10.0,0.0
16,198.0,187.0,1000.0,1000.0,0.00010347366333007812,0.004738569259643555,-11.0,0.0
17,199.0,192.0,1000.0,1000.0,0.00010538101196289062,0.004636287689208984,-7.0,0.0
18,196.0,188.0,1000.0,1000.0,0.00010228157043457031,0.004682064056396484,-8.0,0.0
19,199.0,188.0,1000.0,1000.0,0.00010561943054199219,0.004647016525268555,-11.0,0.0
20,200.0,192.0,1000.0,1000.0,0.00010395050048828125,0.004730701446533203,-8.0,0.0
21,199.0,189.0,1000.0,1000.0,0.0001049041748046875,0.004708528518676758,-10.0,0.0
22,197.0,192.0,1000.0,1000.0,0.00010609626770019531,0.004714488983154297,-5.0,0.0
23,196.0,189.0,1000.0,1000.0,0.00010466575622558594,0.004719734191894531,-7.0,0.0
24,198.0,189.0,1000.0,1000.0,0.00010371208190917969,0.00469517707824707,-9.0,0.0
25,200.0,190.0,1000.0,1000.0,0.00010442733764648438,0.004693508148193359,-10.0,0.0
26,199.0,188.0,1000.0,1000.0,0.00010275840759277344,0.004685640335083008,-11.0,0.0
27,198.0,190.0,1000.0,1000.0,0.00010442733764648438,0.0047147274017333984,-8.0,0.0
28,200.0,190.0,1000.0,1000.0,0.00010633468627929688,0.00481104850769043,-10.0,0.0
29,200.0,189.0,1000.0,1000.0,0.00010824203491210938,0.004709720611572266,-11.0,0.0
30,196.0,187.0,1000.0,1000.0,0.00010371208190917969,0.0047070980072021484,-9.0,0.0
31,199.0,188.0,1000.0,1000.0,0.00010418891906738281,0.004706382751464844,-11.0,0.0
32,198.0,191.0,1000.0,1000.0,0.0001049041748046875,0.004683971405029297,-7.0,0.0
33,200.0,190.0,1000.0,1000.0,0.00010609626770019531,0.004700183868408203,-10.0,0.0
34,199.0,186.0,1000.0,1000.0,0.00010395050048828125,0.0047113895416259766,-13.0,0.0
35,199.0,188.0,1000.0,1000.0,0.00010442733764648438,0.00470280647277832,-11.0,0.0
36,199.0,188.0,1000.0,1000.0,0.00010347366333007812,0.0047075748443603516,-11.0,0.0
37,200.0,190.0,1000.0,1000.0,0.00010609626770019531,0.004662990570068359,-10.0,0.0
38,199.0,190.0,1000.0,1000.0,0.00010466575622558594,0.0047571659088134766,-9.0,0.0
39,198.0,188.0,1000.0,1000.0,0.00011992454528808594,0.004784822463989258,-10.0,0.0
40,200.0,187.0,1000.0,1000.0,0.00010418891906738281,0.004694461822509766,-13.0,0.0
41,197.0,187.0,1000.0,1000.0,0.00010228157043457031,0.004653453826904297,-10.0,0.0
42,199.0,187.0,1000.0,1000.0,0.00010442733764648438,0.00467228889465332,-12.0,0.0
43,198.0,190.0,1000.0,1000.0,0.00010633468627929688,0.004658699035644531,-8.0,0.0
44,199.0,189.0,1000.0,1000.0,0.00011873245239257812,0.004690408706665039,-10.0,0.0
