replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
0,56.0,56.0,1000.0,1000.0,0.0001354217529296875,0.01400446891784668,0.0,0.0
1,56.0,56.0,1000.0,1000.0,9.5367431640625e-05,0.004790306091308594,0.0,0.0
2,56.0,56.0,1000.0,1000.0,8.320808410644531e-05,0.0046956539154052734,0.0,0.0
3,56.0,56.0,1000.0,1000.0,7.748603820800781e-05,0.0046749114990234375,0.0,0.0
4,56.0,56.0,1000.0,1000.0,7.867813110351562e-05,0.0047016143798828125,0.0,0.0
5,56.0,56.0,1000.0,1000.0,7.915496826171875e-05,0.004682064056396484,0.0,0.0
6,56.0,56.0,1000.0,1000.0,7.987022399902344e-05,0.004692792892456055,0.0,0.0
7,56.0,56.0,1000.0,1000.0,7.486343383789062e-05,0.0046863555908203125,0.0,0.0
8,56.0,56.0,1000.0,1000.0,7.605552673339844e-05,0.004673957824707031,0.0,0.0
9,56.0,56.0,1000.0,1000.0,7.581710815429688e-05,0.004701375961303711,0.0,0.0
10,56.0,56.0,1000.0,1000.0,7.62939453125e-05,0.0046749114990234375,0.0,0.0
11,56.0,56.0,1000.0,1000.0,7.534027099609375e-05,0.004647970199584961,0.0,0.0
12,56.0,56.0,1000.0,1000.0,7.867813110351562e-05,0.004617929458618164,0.0,0.0
13,56.0,56.0,1000.0,1000.0,7.724761962890625e-05,0.004597902297973633,0.0,0.0
14,56.0,56.0,1000.0,1000.0,7.653236389160156e-05,0.004605293273925781,0.0,0.0
15,56.0,56.0,1000.0,1000.0,8.296966552734375e-05,0.004626035690307617,0.0,0.0
16,56.0,56.0,1000.0,1000.0,8.082389831542969e-05,0.004675626754760742,0.0,0.0
17,56.0,56.0,1000.0,1000.0,8.296966552734375e-05,0.004655122756958008,0.0,0.0
18,56.0,56.0,1000.0,1000.0,7.724761962890625e-05,0.004660129547119141,0.0,0.0
19,56.0,56.0,1000.0,1000.0,8.0108642578125e-05,0.0046808719635009766,0.0,0.0
20,56.0,56.0,1000.0,1000.0,7.82012939453125e-05,0.0046269893646240234,0.0,0.0
21,56.0,55.0,1000.0,1000.0,7.557868957519531e-05,0.004663944244384766,-1.0,0.0
22,56.0,56.0,1000.0,1000.0,7.796287536621094e-05,0.0046465396881103516,0.0,0.0
23,56.0,56.0,1000.0,1000.0,7.414817810058594e-05,0.0046002864837646484,0.0,0.0
24,56.0,56.0,1000.0,1000.0,9.1552734375e-05,0.004615306854248047,0.0,0.0
25,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004636526107788086,0.0,0.0
26,56.0,55.0,1000.0,1000.0,7.963180541992188e-05,0.004610776901245117,-1.0,0.0
27,56.0,56.0,1000.0,1000.0,7.43865966796875e-05,0.00461268424987793,0.0,0.0
28,56.0,56.0,1000.0,1000.0,7.462501525878906e-05,0.004624843597412109,0.0,0.0
29,56.0,56.0,1000.0,1000.0,7.510185241699219e-05,0.004673957824707031,0.0,0.0
30,56.0,55.0,1000.0,1000.0,7.867813110351562e-05,0.0045735836029052734,-1.0,0.0
31,56.0,56.0,1000.0,1000.0,7.43865966796875e-05,0.004644870758056641,0.0,0.0
32,56.0,56.0,1000.0,1000.0,7.62939453125e-05,0.004622459411621094,0.0,0.0
33,56.0,56.0,1000.0,1000.0,7.367134094238281e-05,0.004917144775390625,0.0,0.0
34,56.0,56.0,1000.0,1000.0,8.082389831542969e-05,0.004636526107788086,0.0,0.0
35,56.0,56.0,1000.0,1000.0,7.557868957519531e-05,0.00463104248046875,0.0,0.0
36,56.0,56.0,1000.0,1000.0,7.700920104980469e-05,0.004669666290283203,0.0,0.0
37,56.0,56.0,1000.0,1000.0,7.557868957519531e-05,0.004645347595214844,0.0,0.0
38,56.0,56.0,1000.0,1000.0,7.891654968261719e-05,0.0047512054443359375,0.0,0.0
39,56.0,55.0,1000.0,1000.0,8.130073547363281e-05,0.004657745361328125,-1.0,0.0
40,56.0,56.0,1000.0,1000.0,7.796287536621094e-05,0.004664421081542969,0.0,0.0
41,56.0,56.0,1000.0,1000.0,7.367134094238281e-05,0.0046844482421875,0.0,0.0
42,56.0,55.0,1000.0,1000.0,7.891654968261719e-05,0.004652500152587891,-1.0,0.0
43,56.0,56.0,1000.0,1000.0,7.319450378417969e-05,0.00464320182800293,0.0,0.0
44,56.0,56.0,1000.0,1000.0,7.534027099609375e-05,0.00469207763671875,0.0,0.0
45,56.0,56.0,1000.0,1000.0,7.462501525878906e-05,0.004686832427978516,0.0,0.0
46,56.0,56.0,1000.0,1000.0,8.034706115722656e-05,0.004681110382080078,0.0,0.0
47,56.0,56.0,1000.0,1000.0,7.605552673339844e-05,0.00461578369140625,0.0,0.0
48,56.0,56.0,1000.0,1000.0,7.581710815429688e-05,0.00466465950012207,0.0,0.0
49,56.0,56.0,1000.0,1000.0,7.367134094238281e-05,0.0046575069427490234,0.0,0.0
50,56.0,56.0,1000.0,1000.0,7.557868957519531e-05,0.004610538482666016,0.0,0.0
51,56.0,56.0,1000.0,1000.0,8.7738037109375e-05,0.004620790481567383,0.0,0.0
52,56.0,56.0,1000.0,1000.0,8.392333984375e-05,0.004688262939453125,0.0,0.0
53,56.0,56.0,1000.0,1000.0,7.62939453125e-05,0.00468897819519043,0.0,0.0
54,56.0,56.0,1000.0,1000.0,8.273124694824219e-05,0.004651069641113281,0.0,0.0
55,56.0,56.0,1000.0,1000.0,9.107589721679688e-05,0.004662036895751953,0.0,0.0
56,56.0,56.0,1000.0,1000.0,7.62939453125e-05,0.004699230194091797,0.0,0.0
57,56.0,56.0,1000.0,1000.0,7.557868957519531e-05,0.004942893981933594,0.0,0.0
58,56.0,55.0,1000.0,1000.0,8.296966552734375e-05,0.004678964614868164,-1.0,0.0
59,56.0,56.0,1000.0,1000.0,7.724761962890625e-05,0.004629611968994141,0.0,0.0
60,56.0,56.0,1000.0,1000.0,9.34600830078125e-05,0.00467681884765625,0.0,0.0
61,56.0,55.0,1000.0,1000.0,7.462501525878906e-05,0.004651784896850586,-1.0,0.0
62,56.0,56.0,1000.0,1000.0,7.62939453125e-05,0.004651308059692383,0.0,0.0
63,56.0,56.0,1000.0,1000.0,7.2479248046875e-05,0.004616737365722656,0.0,0.0
64,56.0,56.0,1000.0,1000.0,7.581710815429688e-05,0.0046880245208740234,0.0,0.0
65,56.0,56.0,1000.0,1000.0,7.486343383789062e-05,0.004651784896850586,0.0,0.0
66,56.0,56.0,1000.0,1000.0,7.534027099609375e-05,0.0046575069427490234,0.0,0.0
67,56.0,56.0,1000.0,1000.0,7.295608520507812e-05,0.004622220993041992,0.0,0.0
68,56.0,56.0,1000.0,1000.0,7.605552673339844e-05,0.004707813262939453,0.0,0.0
69,56.0,56.0,1000.0,1000.0,7.414817810058594e-05,0.0047817230224609375,0.0,0.0
70,56.0,56.0,1000.0,1000.0,8.0108642578125e-05,0.0046710968017578125,0.0,0.0
71,56.0,56.0,1000.0,1000.0,7.462501525878906e-05,0.004818916320800781,0.0,0.0
72,56.0,56.0,1000.0,1000.0,8.153915405273438e-05,0.004766941070556641,0.0,0.0
73,56.0,56.0,1000.0,1000.0,9.34600830078125e-05,0.004696846008300781,0.0,0.0
