replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
0,56.0,56.0,1000.0,1000.0,9.417533874511719e-05,0.004809141159057617,0.0,0.0
1,56.0,56.0,1000.0,1000.0,7.82012939453125e-05,0.004718780517578125,0.0,0.0
2,56.0,56.0,1000.0,1000.0,7.557868957519531e-05,0.0046539306640625,0.0,0.0
3,56.0,56.0,1000.0,1000.0,7.390975952148438e-05,0.004663705825805664,0.0,0.0
4,56.0,56.0,1000.0,1000.0,7.581710815429688e-05,0.004653453826904297,0.0,0.0
5,56.0,56.0,1000.0,1000.0,7.343292236328125e-05,0.004653215408325195,0.0,0.0
6,56.0,56.0,1000.0,1000.0,7.414817810058594e-05,0.004694461822509766,0.0,0.0
7,56.0,56.0,1000.0,1000.0,7.462501525878906e-05,0.004630565643310547,0.0,0.0
8,56.0,56.0,1000.0,1000.0,8.749961853027344e-05,0.004635334014892578,0.0,0.0
9,56.0,56.0,1000.0,1000.0,7.390975952148438e-05,0.004683017730712891,0.0,0.0
10,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004687786102294922,0.0,0.0
11,56.0,56.0,1000.0,1000.0,7.176399230957031e-05,0.004605770111083984,0.0,0.0
12,56.0,56.0,1000.0,1000.0,7.081031799316406e-05,0.004727363586425781,0.0,0.0
13,56.0,56.0,1000.0,1000.0,7.43865966796875e-05,0.004640340805053711,0.0,0.0
14,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004597902297973633,0.0,0.0
15,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004673957824707031,0.0,0.0
16,56.0,56.0,1000.0,1000.0,7.462501525878906e-05,0.004594564437866211,0.0,0.0
17,56.0,56.0,1000.0,1000.0,7.2479248046875e-05,0.004639625549316406,0.0,0.0
18,56.0,56.0,1000.0,1000.0,7.295608520507812e-05,0.004553079605102539,0.0,0.0
19,56.0,56.0,1000.0,1000.0,7.295608520507812e-05,0.004643917083740234,0.0,0.0
20,56.0,56.0,1000.0,1000.0,7.462501525878906e-05,0.004639148712158203,0.0,0.0
21,56.0,55.0,1000.0,1000.0,7.2479248046875e-05,0.004741668701171875,-1.0,0.0
22,56.0,56.0,1000.0,1000.0,7.653236389160156e-05,0.004600048065185547,0.0,0.0
23,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004617214202880859,0.0,0.0
24,56.0,56.0,1000.0,1000.0,7.224082946777344e-05,0.004668235778808594,0.0,0.0
25,56.0,56.0,1000.0,1000.0,7.081031799316406e-05,0.0046541690826416016,0.0,0.0
26,56.0,55.0,1000.0,1000.0,8.749961853027344e-05,0.004644632339477539,-1.0,0.0
27,56.0,56.0,1000.0,1000.0,7.534027099609375e-05,0.004631519317626953,0.0,0.0
28,56.0,56.0,1000.0,1000.0,7.224082946777344e-05,0.0046198368072509766,0.0,0.0
29,56.0,56.0,1000.0,1000.0,7.557868957519531e-05,0.0046803951263427734,0.0,0.0
30,56.0,55.0,1000.0,1000.0,7.319450378417969e-05,0.004642486572265625,-1.0,0.0
31,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004643440246582031,0.0,0.0
32,56.0,56.0,1000.0,1000.0,7.104873657226562e-05,0.004621028900146484,0.0,0.0
33,56.0,56.0,1000.0,1000.0,8.797645568847656e-05,0.0046350955963134766,0.0,0.0
34,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004633665084838867,0.0,0.0
35,56.0,56.0,1000.0,1000.0,7.2479248046875e-05,0.004650592803955078,0.0,0.0
36,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.004606962203979492,0.0,0.0
37,56.0,56.0,1000.0,1000.0,7.224082946777344e-05,0.004627704620361328,0.0,0.0
38,56.0,56.0,1000.0,1000.0,7.2479248046875e-05,0.004581451416015625,0.0,0.0
39,56.0,55.0,1000.0,1000.0,7.367134094238281e-05,0.004638195037841797,-1.0,0.0
40,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.004769802093505859,0.0,0.0
41,56.0,56.0,1000.0,1000.0,7.605552673339844e-05,0.004622936248779297,0.0,0.0
42,56.0,55.0,1000.0,1000.0,7.176399230957031e-05,0.004660606384277344,-1.0,0.0
43,56.0,56.0,1000.0,1000.0,7.534027099609375e-05,0.004608154296875,0.0,0.0
44,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.0046389102935791016,0.0,0.0
45,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004648685455322266,0.0,0.0
46,56.0,56.0,1000.0,1000.0,7.176399230957031e-05,0.004637002944946289,0.0,0.0
47,56.0,56.0,1000.0,1000.0,7.43865966796875e-05,0.0046350955963134766,0.0,0.0
48,56.0,56.0,1000.0,1000.0,7.43865966796875e-05,0.004685640335083008,0.0,0.0
49,56.0,56.0,1000.0,1000.0,7.43865966796875e-05,0.004655122756958008,0.0,0.0
50,56.0,56.0,1000.0,1000.0,7.176399230957031e-05,0.0046842098236083984,0.0,0.0
51,56.0,56.0,1000.0,1000.0,9.369850158691406e-05,0.0046617984771728516,0.0,0.0
52,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004681587219238281,0.0,0.0
53,56.0,56.0,1000.0,1000.0,7.224082946777344e-05,0.00466465950012207,0.0,0.0
54,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004663705825805664,0.0,0.0
55,56.0,56.0,1000.0,1000.0,9.274482727050781e-05,0.0047376155853271484,0.0,0.0
56,56.0,56.0,1000.0,1000.0,7.677078247070312e-05,0.004846811294555664,0.0,0.0
57,56.0,56.0,1000.0,1000.0,7.82012939453125e-05,0.004728794097900391,0.0,0.0
58,56.0,55.0,1000.0,1000.0,7.462501525878906e-05,0.004705190658569336,-1.0,0.0
59,56.0,56.0,1000.0,1000.0,7.677078247070312e-05,0.00463104248046875,0.0,0.0
