replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
0,198.0,193.0,1000.0,1000.0,0.0001366138458251953,0.004849433898925781,-5.0,0.0
1,200.0,190.0,1000.0,1000.0,0.00010895729064941406,0.004837989807128906,-10.0,0.0
2,200.0,187.0,1000.0,1000.0,0.00010561943054199219,0.004768848419189453,-13.0,0.0
3,198.0,190.0,1000.0,1000.0,0.00010824203491210938,0.004785776138305664,-8.0,0.0
4,200.0,192.0,1000.0,1000.0,0.00012230873107910156,0.00478816032409668,-8.0,0.0
5,199.0,187.0,1000.0,1000.0,0.00010371208190917969,0.004819154739379883,-12.0,0.0
6,199.0,189.0,1000.0,1000.0,0.00010228157043457031,0.0047953128814697266,-10.0,0.0
7,196.0,189.0,1000.0,1000.0,0.00010323524475097656,0.0048215389251708984,-7.0,0.0
8,199.0,191.0,1000.0,1000.0,0.000102996826171875,0.00480198860168457,-8.0,0.0
9,200.0,186.0,1000.0,1000.0,0.00010824203491210938,0.0048198699951171875,-14.0,0.0
10,198.0,185.0,1000.0,1000.0,0.00010395050048828125,0.0048258304595947266,-13.0,0.0
11,198.0,189.0,1000.0,1000.0,0.00010395050048828125,0.004880189895629883,-9.0,0.0
12,198.0,190.0,1000.0,1000.0,0.00010657310485839844,0.004811525344848633,-8.0,0.0
13,198.0,187.0,1000.0,1000.0,0.00010323524475097656,0.004837512969970703,-11.0,0.0
14,200.0,191.0,1000.0,1000.0,0.00010371208190917969,0.004751682281494141,-9.0,0.0
15,200.0,190.0,1000.0,1000.0,0.00010251998901367188,0.004782199859619141,-10.0,0.0
16,198.0,187.0,1000.0,1000.0,0.00011968612670898438,0.0047910213470458984,-11.0,0.0
17,199.0,192.0,1000.0,1000.0,0.00010275840759277344,0.004782676696777344,-7.0,0.0
18,196.0,188.0,1000.0,1000.0,0.00010442733764648438,0.004755973815917969,-8.0,0.0
19,199.0,188.0,1000.0,1000.0,0.00010180473327636719,0.004761219024658203,-11.0,0.0
20,200.0,192.0,1000.0,1000.0,0.00010418891906738281,0.004794597625732422,-8.0,0.0
21,199.0,189.0,1000.0,1000.0,0.00010275840759277344,0.0047953128814697266,-10.0,0.0
22,197.0,192.0,1000.0,1000.0,0.00010180473327636719,0.004832744598388672,-5.0,0.0
23,196.0,189.0,1000.0,1000.0,0.00010538101196289062,0.004878997802734375,-7.0,0.0
24,198.0,189.0,1000.0,1000.0,0.00010752677917480469,0.0047969818115234375,-9.0,0.0
25,200.0,190.0,1000.0,1000.0,0.000102996826171875,0.004771709442138672,-10.0,0.0
26,199.0,188.0,1000.0,1000.0,0.00010371208190917969,0.00476384162902832,-11.0,0.0
27,198.0,190.0,1000.0,1000.0,0.00011849403381347656,0.004796504974365234,-8.0,0.0
28,200.0,190.0,1000.0,1000.0,0.00010418891906738281,0.004822254180908203,-10.0,0.0
29,200.0,189.0,1000.0,1000.0,0.00010633468627929688,0.004820108413696289,-11.0,0.0
30,196.0,187.0,1000.0,1000.0,0.00010442733764648438,0.004759788513183594,-9.0,0.0
31,199.0,188.0,1000.0,1000.0,0.000102996826171875,0.004798412322998047,-11.0,0.0
32,198.0,191.0,1000.0,1000.0,0.00010609626770019531,0.004774570465087891,-7.0,0.0
33,200.0,190.0,1000.0,1000.0,0.000102996826171875,0.0047566890716552734,-10.0,0.0
34,199.0,186.0,1000.0,1000.0,0.00010132789611816406,0.004800081253051758,-13.0,0.0
