replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
0,198.0,195.0,1000.0,1000.0,0.0001373291015625,0.004767179489135742,-3.0,0.0
1,200.0,195.0,1000.0,1000.0,0.00010895729064941406,0.0047228336334228516,-5.0,0.0
2,200.0,193.0,1000.0,1000.0,0.00010514259338378906,0.004694461822509766,-7.0,0.0
3,198.0,194.0,1000.0,1000.0,0.00012063980102539062,0.0046672821044921875,-4.0,0.0
4,200.0,189.0,1000.0,1000.0,0.00010895729064941406,0.004818916320800781,-11.0,0.0
5,199.0,193.0,1000.0,1000.0,0.00010800361633300781,0.004689693450927734,-6.0,0.0
6,199.0,194.0,1000.0,1000.0,0.0001049041748046875,0.0046596527099609375,-5.0,0.0
7,196.0,193.0,1000.0,1000.0,0.00010204315185546875,0.004685163497924805,-3.0,0.0
8,199.0,196.0,1000.0,1000.0,0.00010371208190917969,0.004703998565673828,-3.0,0.0
9,200.0,192.0,1000.0,1000.0,0.00010371208190917969,0.004736423492431641,-8.0,0.0
10,198.0,192.0,1000.0,1000.0,0.00010132789611816406,0.004678249359130859,-6.0,0.0
11,198.0,197.0,1000.0,1000.0,0.00010514259338378906,0.004680633544921875,-1.0,0.0
12,198.0,188.0,1000.0,1000.0,0.00010251998901367188,0.004702091217041016,-10.0,0.0
13,198.0,194.0,1000.0,1000.0,0.00010347366333007812,0.004729032516479492,-4.0,0.0
14,200.0,194.0,1000.0,1000.0,0.00011754035949707031,0.004670143127441406,-6.0,0.0
15,200.0,193.0,1000.0,1000.0,0.00010228157043457031,0.004708528518676758,-7.0,0.0
16,198.0,196.0,1000.0,1000.0,0.00010204315185546875,0.0047206878662109375,-2.0,0.0
17,199.0,191.0,1000.0,1000.0,0.00010538101196289062,0.004723787307739258,-8.0,0.0
18,196.0,194.0,1000.0,1000.0,0.00010275840759277344,0.004682064056396484,-2.0,0.0
19,199.0,191.0,1000.0,1000.0,0.00011897087097167969,0.0046787261962890625,-8.0,0.0
20,200.0,190.0,1000.0,1000.0,0.00010156631469726562,0.004705905914306641,-10.0,0.0
21,199.0,194.0,1000.0,1000.0,0.00010156631469726562,0.004758119583129883,-5.0,0.0
22,197.0,192.0,1000.0,1000.0,0.00010132789611816406,0.004682779312133789,-5.0,0.0
23,196.0,190.0,1000.0,1000.0,0.00010013580322265625,0.00470733642578125,-6.0,0.0
24,198.0,192.0,1000.0,1000.0,0.00010585784912109375,0.004708051681518555,-6.0,0.0
25,200.0,191.0,1000.0,1000.0,0.00010275840759277344,0.004757404327392578,-9.0,0.0
26,199.0,193.0,1000.0,1000.0,0.0001010894775390625,0.004706144332885742,-6.0,0.0
27,198.0,192.0,1000.0,1000.0,0.00010275840759277344,0.004710197448730469,-6.0,0.0
28,200.0,194.0,1000.0,1000.0,0.00010228157043457031,0.004714250564575195,-6.0,0.0
29,200.0,195.0,1000.0,1000.0,0.00010395050048828125,0.004744052886962891,-5.0,0.0
30,196.0,193.0,1000.0,1000.0,0.00010251998901367188,0.004732370376586914,-3.0,0.0
31,199.0,189.0,1000.0,1000.0,0.00010347366333007812,0.00473475456237793,-10.0,0.0
32,198.0,191.0,1000.0,1000.0,0.00010323524475097656,0.004716396331787109,-7.0,0.0
33,200.0,194.0,1000.0,1000.0,0.00010180473327636719,0.00474858283996582,-6.0,0.0
34,199.0,193.0,1000.0,1000.0,0.0001068115234375,0.0047299861907958984,-6.0,0.0
35,199.0,193.0,1000.0,1000.0,0.00010323524475097656,0.004702091217041016,-6.0,0.0
36,199.0,192.0,1000.0,1000.0,0.00010418891906738281,0.004713296890258789,-7.0,0.0
37,200.0,195.0,1000.0,1000.0,0.00010371208190917969,0.004770517349243164,-5.0,0.0
38,199.0,192.0,1000.0,1000.0,0.00010466575622558594,0.004703044891357422,-7.0,0.0
39,198.0,191.0,1000.0,1000.0,0.000102996826171875,0.0046918392181396484,-7.0,0.0
40,200.0,192.0,1000.0,1000.0,0.00010275840759277344,0.004765033721923828,-8.0,0.0
41,197.0,191.0,1000.0,1000.0,0.00010728836059570312,0.004797697067260742,-6.0,0.0
42,199.0,191.0,1000.0,1000.0,0.0001068115234375,0.00471806526184082,-8.0,0.0
43,198.0,196.0,1000.0,1000.0,0.0001430511474609375,0.004703044891357422,-2.0,0.0
44,199.0,196.0,1000.0,1000.0,0.00010275840759277344,0.00474858283996582,-3.0,0.0
45,199.0,194.0,1000.0,1000.0,0.00010561943054199219,0.004734039306640625,-5.0,0.0
46,200.0,193.0,1000.0,1000.0,0.00010323524475097656,0.0047185420989990234,-7.0,0.0
